Number of Points,Import I/O,Preprocessing,Cover and Grow,2D Contour,3D Contour,Geometric Features,Export I/O, Tetgen 1,Tetgen 2,Triangle 1,Triangle 2
1000,2909,764,1808,7050,62412,35299,295632,,,,
1000,1540,683,1674,7207,65033,35119,290544,,,,
1000,1334,673,1682,6948,64781,35236,288742,,,,
1000,1312,650,1726,7171,69848,38502,285986,,,,
1000,1298,648,1621,7121,65833,36427,281538,,,,
10240,18595,7914,13422,63766,565931,365705,2398907,,,,
10240,20709,7721,13988,68811,533782,361916,2365358,,,,
10240,14218,9145,13878,70504,538284,364929,2403086,,,,
10240,13546,7775,13591,64515,535748,364888,2374055,,,,
10240,13362,7330,13527,66967,540664,362677,2335291,,,,
100000,133639,89317,131601,2024368,5609933,4668158,25240460,,,,
100000,134706,84348,130944,1771814,5819132,4614088,24890962,,,,
100000,134737,89163,136768,2047857,5823629,5472011,25917534,,,,
100000,134583,87054,134280,1872613,5575820,4622074,25051570,,,,
100000,136533,85832,137585,1893553,5682858,4659425,24573482,,,,
1024000,1311952,976804,1630704,245921878,62720425,69415569,284226590,,,,
1024000,1296366,918233,1741233,227370008,58847471,69337695,286163218,,,,
1024000,1277451,859593,1597786,228699766,59575368,68759487,287227513,,,,
1024000,1271029,862848,1600041,230039857,59410020,68079424,286931379,,,,
1024000,1266954,861045,1594400,231434842,58902505,68382085,306421502,,,,
10240,37783,12486,20042,65463,535892,363915,2381150,66827,,,
10240,18895,8664,13922,68869,534892,370818,2453417,64865,,,
100000,142579,88217,135994,2024478,5684080,5250520,26075244,545514,,,
1000,5255,714,1799,7495,62571,34994,285374,9575,,,
1000,5130,705,1687,7560,64627,34911,282049,9459,,,
1000,1405,862,2712,7203,68755,36623,276720,9413,,,
1024000,1436000,950571,1661979,245323501,63885433,71929789,310831915,5623405,,,
4000,6288,4438,8064,44760,440934,271493,186945,32567,,,
4000,6296,3090,8137,38797,435153,262278,180448,38240,,,
4000,6437,3106,7828,39284,421966,280892,182220,32487,,,
4000,6663,3018,7868,38523,431612,275700,183562,32964,,,
4000,6043,3113,7850,38280,429932,261558,178663,32267,,,
16000,23769,13907,27396,222004,1596422,1226228,690332,98583,,,
16000,24982,13205,30811,242389,1667390,1332132,678773,104516,,,
16000,23899,13070,27410,223146,1591869,1254949,672687,98192,,,
16000,24455,13437,27541,224120,1555405,1099704,648315,98531,,,
16000,23911,12961,26448,222784,1477720,1061981,759906,94528,,,
36000,52789,36808,63967,668517,3510042,2834464,1496068,218045,,,
36000,51368,30831,61728,609634,3445899,2753208,1499174,217542,,,
36000,52106,30801,62233,637030,3341054,2703408,1547254,218548,,,
36000,57228,33691,63503,656413,3372151,2513661,1491697,221102,,,
36000,52195,29988,61540,606461,3333042,2779359,1502603,216769,,,
36000,56756,26086,55259,603459,2742609,2035858,1139751,236841,232591,,
36000,56651,32669,59193,663494,2480536,2099684,1198691,237772,230725,2284,2162
36000,58559,30051,55809,554023,2134809,1604588,1105955,214536,209709,3083,1950
36000,51420,32134,57993,497051,2083233,1585040,1101868,211903,207734,2335,1969
360,559,479,1169,6536,44693,21636,20090,5711,4878,416,44
360,690,278,1150,5743,43513,21922,20187,5024,5176,70,44
360,747,294,1178,6097,43414,21284,19035,4970,5111,76,44
360,834,285,1171,5957,43477,21512,19261,4937,4862,70,45
360,710,282,1152,5776,46199,21539,19349,5002,5214,72,46
640,924,471,1712,8766,70238,37504,31871,7277,7303,90,60
640,929,462,1738,8430,70402,37205,31729,7168,7117,95,60
640,1267,458,1685,8626,69589,36418,31577,7256,7148,91,61
640,1191,465,1802,8519,69620,36517,31531,7385,7240,105,64
640,1038,471,1690,8428,69538,36520,32068,7403,7378,93,65
1000,1609,755,2469,11632,103019,54185,45441,10041,9763,132,95
1000,1373,687,2241,11209,98414,57978,45930,9725,9617,121,92
1000,1674,691,2236,11191,98692,54499,45153,9919,9597,119,95
1000,1680,698,2293,11188,101056,54132,45575,9740,9638,122,95
1000,1677,699,2298,11379,99866,54509,46194,9702,9654,124,93
1440,2266,1103,3351,16259,142265,80908,66616,13060,12938,159,132
1440,2316,1000,3148,15930,146179,82269,65991,13000,12829,156,125
1440,2317,1021,3274,16866,146203,85567,65838,13350,12813,160,127
1440,1956,966,3154,15110,145156,81902,65040,12940,12698,172,132
1440,2335,1025,3113,15459,156107,108137,98045,13079,14939,167,131
1960,2837,1373,4027,47850,301773,109319,86409,30432,16402,195,191
1960,3025,1354,4033,18844,186693,112863,84917,16124,16052,189,160
1960,2644,1318,3915,19069,250550,169837,84759,16148,53155,190,162
1960,3005,1261,3863,19039,183815,110919,86569,16316,16231,183,150
1960,2999,1256,3847,18959,185819,111248,86895,16233,16178,188,161
2560,3593,1729,4928,23308,240857,153185,110968,19746,19816,248,194
